Artist,Grammys,Streams
"Clare Fischer[227]
Puff Daddy[228]
Maroon 5[229]
Maxwell[230]
Diplo[231]",3,
"Gloria Estefan[232]
Red Hot Chili Peppers[233]",3,
"Los Lobos[234]
Vikki Carr[235]
Fiona Apple[236]
Lori McKenna[237]
Hit-Boy[238]",3,
"Bad Bunny[239]
Rob Thomas[240]
Shawn Colvin[241]
Taj Mahal[242]
Dua Lipa[243]
Victoria Monét[244]",3,
"Steely Dan[245]
Harry Styles[246]",3,
"James Brown[247]
Chance the Rapper[248]
Ross Bagdasarian Sr.[249]
Randy Meisner[250]",3,
"The Carpenters[251]
Justice[252]",3,
"The Flaming Lips[253]
Megan Thee Stallion[254]
Lin-Manuel Miranda[255]
Boygenius[256]
Tori Kelly[257]
Wendy Carlos[258]",3,
"Bob Newhart[259]
Esperanza Spalding[260]
Toto[261]
Brandon Bell[262]",3,
St. Vincent[263],3,
"Tool[264]
Lenny White[265]
Dan + Shay[266]
Pentatonix[267]",3,
Chris Brown[268],2,
"J. Cole[269]
Jazmine Sullivan[270]",2,
Cyndi Lauper[271],2,
"Melissa Etheridge[272]
Ariana Grande[273]",2,
"Peter Kater[274]
David Guetta[275]
Randy Owen[276]",2,
"Patti LaBelle[277]
T-Pain[278]",2,
"Marvin Gaye[279]
Kenny Loggins[280]",2,
"Barry White[281]
Black Thought[282]
Lil Nas X[283]",2,
"Yehudi Menuhin[284]
Nine Inch Nails[285]",2,
"Intocable[286]
No Doubt[287]
Brian Wilson[288]
James Blake[289]
Bon Iver[290]
Alan Bartram[291]",2,
"Peter Nero[292]
Nate Ruess[293]
Soundgarden[294]
Miley Cyrus[295]
Jennifer Hudson[296]
Kaytranada[297]",2,
"Gloria Gaynor[298]
La Mafia[299]
LeAnn Rimes[300]
Brave Combo[301]
Fleetwood Mac[302]
Frank Ocean[303]
Fred again..[304]
Nashville Bluegrass Band[305]
Billy Strings[306]",2,
"Linkin Park[307]
Andrew Dost[308]
Sabrina Carpenter[309]
Evanescence[310]
Natalie Hemby[311]
Kylie Minogue[312]
Aaron Dessner[313]
Lauren Daigle[314]",2,
"Nate ""Danja"" Hills[315]
Otis Redding[316]
Bobby Darin[317]
Tyler, the Creator[318]
Vernon Reid[319]
Colbie Caillat[320]
Lorde[321]
Nipsey Hussle[322]",2,
"Taylor Eigsti[323]
Ted Nash[324]
Jason Mraz[325]
Denny Laine[326]",2,
"Little Joe y La Familia[327]
Lisa Fischer[328]
Rufus[329]
Thundercat[330]
David Robertson[331]
Molly Tuttle[332]
Brandon Vamos[333]
Randy Spendlove[334]",2,
"Selena[335]
Judy Garland[336]",2,
Doja Cat[337],1,
"Kenny G[338]
Nas[339]
Brandy Clark[340]",1,
Elvis Costello[341],1,
"50 Cent[342]
Ledisi[343]
Pearl Jam[344]",1,
"Ray Barretto[345]
Miguel[346]",1,
"Carter Beauford[347]
Brandy[348]
Fantasia
Gorillaz",1,
"Crystal Gayle
21 SavageSlipknot",1,
"DJ Khaled
Q-Tip
Chicago (band)
David Crosby
Burna Boy
Nashville Brass with Danny Davis[349]",1,
"Cardi B
The Neptunes
Bon Jovi
Arcade Fire
Roddy Ricch
Kenny Gamble[350]",1,
"Ashanti
Al Hirt
Britney Spears
Mariachi Divas
John McLaughlin Williams
Stephen Stills
Sara Bareilles
Faith Evans
Lil Baby
Dan Nigro
Graham Nash[351]
Chris Brown[352]
Elevation Worship[353]",1,
"Cher
Queen Latifah
Mongo Santamaria
Paula Cole
Nat King Cole
Rhonda Vincent
Dante Bowe[354]",1,
"Steve Lacy
Stargate
Bobby Bare
Crosby, Stills & Nash
Nirvana
Twenty One Pilots
Calvin Harris
Baby Keem
Randy Thornton[355]",1,
"Emilio Navaira
Ciara
Fun (band)
Richard Marx
Coco Jones
Sue Mingus[356]
Tiffany Hudson[357]",1,
"Enrique Iglesias
The Chainsmokers
Steve Jordan
Pink Floyd
Michelle Branch
Frank Yankovic
Kentucky Headhunters
Imagine Dragons
Alfred Newman
Julieta Venegas
Ghost[358]
Monica
Hykeem Carter
Leon Bridges
Ella Mai
Muni Long
Weezer
Theron Thomas
Lil Durk
System of a Down[359]
Joe L Barnes[360]",1,
"Ian Brennan
Cal Tjader
Mariachi los Camperos
Texas Tornados
Los Palominos
Rüfüs Du Sol
Meghan Trainor
La Santa Cecilia
Lila Downs
The Band Perry
Lupillo Rivera
Nadia Shpachenko
Andra Day
James Steven Ginsburg (producer)
Mýa
Amanda Lindsey Cook[361]
James Earl Jones[362]
Brandon Davis[363]
Brandon Harding[364]
Brandon Patrick George[365]
Brandon Victor Dixon[366]
Randy Waldman[367]",1,
"Creed
Gloria Cheng
Bacilos
Los Super Seven
The Legends
Paula Abdul
Bobby Brown
Bo Burnham
Otha Nash
America (band)[368]
Lisa Loeb & Nine Stories
Edgar Barrera
Dirty Vegas
Aphex Twin
Joel Little[369]
Randy Holland[370]",1,
"Gilley's Urban Cowboy Band
Jesse Harris
Sirah
Solange
Chris Perez
Stephen McLaughlin
Chente Barrera
Los Texmaniacs
Ted Nash Big Band[371]
Jessica Rivera
Puff Daddy & The Family
The Product G&B
Timothy Fallon
Freddie Nartinez, Jr.
Daya
Flowdan
Kim Petras
Brandie Lane[372]
Brandon Jones[373]
John Brancy[374]
Randy Ellis[375]
Randy Kelly[376]
Randy Thomas[377]
Randy Urbanski[378]
Brady Nasfell[379]
Brandon Johnson[380]
Brandon Perdue[381]
Peter Brandt[382]
Randy Caballero[383]
Randy Everett[384]
Randy Kohrs[385]",1,
