Player,Team,Position,points
Trey Sermon,IC,RB,12
Michael Pittman Jr.,IC,WR,18
Josh Downs,IC,WR,30
Anthony Richardson,IC,QB,38
Alec Pierce,IC,WR,42
Jonathan Taylor,IC,RB,72
Matt Gay,IC,K,126
Mac Jones,JJ,QB,6
Christian Kirk,JJ,WR,6
Travon Walker,JJ,RDE,6
Evan Engram,JJ,TE,8
Gabriel Davis,JJ,WR,12
Travis Etienne,JJ,RB,12
Brenton Strange,JJ,TE,12
Trevor Lawrence,JJ,QB,18
Parker Washington,JJ,WR,26
Tank Bigsby,JJ,RB,42
Brian Thomas,JJ,WR,64
Cam Little,JJ,K,108
Wanya Morris,KCC,LT,6
Isiah Pacheco,KCC,RB,6
Mecole Hardman,KCC,WR,6
Chamarri Conner,KCC,DB,6
Patrick Mahomes,KCC,QB,12
Justin Watson,KCC,WR,12
Samaje Perine,KCC,RB,12
Rashee Rice,KCC,WR,12
JuJu Smith-Schuster,KCC,WR,12
Spencer Shrader,KCC,K,15
Travis Kelce,KCC,TE,18
DeAndre Hopkins,KCC,WR,24
Matthew Wright,KCC,K,26
Noah Gray,KCC,TE,30
Kareem Hunt,KCC,RB,42
Xavier Worthy,KCC,WR,54
Harrison Butker,KCC,K,92
DJ Chark,LAC,WR,6
Tarheeb Still,LAC,RCB,6
Kimani Vidal,LAC,RB,6
Josh Palmer,LAC,WR,10
Derius Davis,LAC,WR,12
Will Dissly,LAC,TE,12
Justin Herbert,LAC,QB,12
Hassan Haskins,LAC,RB,18
Gus Edwards,LAC,RB,24
Ladd McConkey,LAC,WR,44
Quentin Johnston,LAC,WR,48
J.K. Dobbins,LAC,RB,54
Cameron Dicker,LAC,K,150
Byron Young,LAR,LOLB,2
Kamren Curl,LAR,FS,6
Tyler Johnson,LAR,WR,6
Kamren Kinchens,LAR,DB,6
Hunter Long,LAR,TE,6
Jaylen McCollough,LAR,DB,6
Colby Parkinson,LAR,TE,6
Tyler Higbee,LAR,TE,12
Puka Nacua,LAR,WR,24
Cooper Kupp,LAR,WR,36
Demarcus Robinson,LAR,WR,42
Kyren Williams,LAR,RB,96
Joshua Karty,LAR,K,119
Davante Adams,LVR,WR,6
Jack Jones,LVR,LCB,6
Aidan O'Connell,LVR,QB,6
Zamir White,LVR,RB,6
Kristian Wilkerson,LVR,WR,6
DJ Turner,LVR,WR,12
Tre Tucker,LVR,WR,24
Jakobi Meyers,LVR,WR,26
Ameer Abdullah,LVR,RB,30
Brock Bowers,LVR,TE,30
Alexander Mattison,LVR,RB,32
Daniel Carlson,LVR,K,125
Alec Ingold,MD,FB,6
Malik Washington,MD,WR,6
Tyler Huntley,MD,QB,12
Raheem Mostert,MD,RB,12
Jaylen Waddle,MD,WR,16
Tyreek Hill,MD,WR,36
Jonnu Smith,MD,TE,48
De'Von Achane,MD,RB,72
Jason Sanders,MD,K,137
Sam Darnold,MV,QB,6
C.J. Ham,MV,FB,6
Ivan Pace,MV,LILB,6
Trent Sherfield,MV,WR,6
Johnny Mundt,MV,TE,12
Andrew Van Ginkel,MV,RLB,12
Cam Akers,MV,RB,18
Josh Oliver,MV,TE,18
Jalen Nailor,MV,WR,36
John Parker Romo,MV,K,40
Aaron Jones,MV,RB,42
Jordan Addison,MV,WR,60
Justin Jefferson,MV,WR,60
Will Reichard,MV,K,110
Kendrick Bourne,NEP,WR,6
Antonio Gibson,NEP,RB,6
Christian Gonzalez,NEP,RCB,6
Jamycal Hasty,NEP,RB,6
Vederian Lowe,NEP,LT,6
Joe Milton,NEP,QB,6
K.J. Osborn,NEP,WR,6
Hunter Henry,NEP,TE,12
Drake Maye,NEP,QB,12
Ja'Lynn Polk,NEP,WR,12
Demario Douglas,NEP,WR,18
Austin Hooper,NEP,TE,18
Kayshon Boutte,NEP,WR,20
Rhamondre Stevenson,NEP,RB,52
Joey Slye,NEP,K,103
Derek Carr,NOS,QB,6
Bub Means,NOS,WR,6
Kendre Miller,NOS,RB,6
Chris Olave,NOS,WR,6
Jamaal Williams,NOS,RB,6
Cedrick Wilson Jr.,NOS,WR,6
Dante Pettis,NOS,WR,8
Juwan Johnson,NOS,TE,18
Rashid Shaheed,NOS,WR,24
Marquez Valdes-Scantling,NOS,WR,24
Foster Moreau,NOS,TE,30
Taysom Hill,NOS,TE,36
Alvin Kamara,NOS,RB,48
Blake Grupe,NOS,K,112
Jude McAtamney,NYG,K,4
Bryce Ford-Wheaton,NYG,WR,6
Theo Johnson,NYG,TE,6
Chris Manhertz,NYG,TE,6
Ihmir Smith-Marsette,NYG,WR,6
Daniel Jones,NYG,QB,12
Drew Lock,NYG,QB,12
Darius Slayton,NYG,WR,12
Wan'Dale Robinson,NYG,WR,18
Devin Singletary,NYG,RB,24
Tyrone Tracy Jr.,NYG,RB,36
Graham Gano,NYG,K,42
Malik Nabers,NYG,WR,44
Greg Joseph,NYG,K,45
Riley Patterson,NYJ,K,3
Xavier Gipson,NYJ,WR,6
Greg Joseph,NYJ,K,6
Kene Nwangwu,NYJ,RB,6
Spencer Shrader,NYJ,K,6
Kenny Yeboah,NYJ,TE,6
Isaiah Davis,NYJ,RB,12
Braelon Allen,NYJ,RB,18
Tyler Conklin,NYJ,TE,26
Anders Carlson,NYJ,K,33
Allen Lazard,NYJ,WR,36
Greg Zuerlein,NYJ,K,40
Davante Adams,NYJ,WR,44
Garrett Wilson,NYJ,WR,44
Breece Hall,NYJ,RB,52
Kelee Ringo,PE,CB,2
Grant Calcaterra,PE,TE,6
Parris Campbell,PE,WR,6
Kenneth Gainwell,PE,RB,6
C.J. Gardner-Johnson,PE,SS,6
E.J. Jenkins,PE,TE,6
Kenny Pickett,PE,QB,6
Ainias Smith,PE,WR,6
Johnny Wilson,PE,WR,6
Dallas Goedert,PE,TE,12
A.J. Brown,PE,WR,42
DeVonta Smith,PE,WR,48
Jalen Hurts,PE,QB,84
Saquon Barkley,PE,RB,96
Jake Elliott,PE,K,131
Connor Heyward,PS,TE,6
Cordarrelle Patterson,PS,RB,6
MyCole Pruitt,PS,TE,6
Jaylen Warren,PS,RB,6
Darnell Washington,PS,TE,6
Mike Williams,PS,WR,6
Payton Wilson,PS,LB,6
