spotify ranking,number of total streams,name of song
158,"226,526,824",epiphany
159,"224,052,454",coney island (feat. The National)
160,"220,727,526",dorothea
161,"220,564,396",* The Joker And The Queen (feat. Taylor Swift)
162,"220,000,151",The Very First Night (Taylor's Version) (From The Vault)
163,"218,620,882",Bad Blood
164,"214,661,390",Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)
165,"213,955,075",Elizabeth Taylor
166,"212,407,909",Shake It Off (Taylor's Version)
167,"211,670,340",Clean
168,"208,359,671",New Romantics (Taylor's Version)
169,"206,908,918",Long Live (Taylor's Version)
170,"204,161,635",Sparks Fly
171,"202,068,622",the lakes - bonus track
172,"200,022,636",How Did It End?
173,"196,218,347",The Black Dog
174,"193,440,219",High Infidelity
175,"192,644,034",Father Figure
176,"189,825,063",Better Man (Taylor's Version) (From The Vault)
177,"189,102,715",How You Get The Girl
178,"177,852,722",Sparks Fly (Taylor’s Version)
179,"175,940,901",Welcome To New York (Taylor's Version)
180,"175,071,674",Better Than Revenge (Taylor's Version)
181,"174,915,396",I Can Fix Him (No Really I Can)
182,"174,382,267",* Renegade
183,"173,440,008",Soon You’ll Get Better (feat. The Chicks)
184,"168,926,555",Dear Reader
185,"166,709,881",* Two Is Better Than One (feat. Taylor Swift)
186,"165,663,898",Clean (Taylor's Version)
187,"164,836,915",Clara Bow
188,"164,624,802",I Wish You Would
189,"164,261,326",Wi$h Li$t
190,"164,041,847",The Story Of Us
191,"164,000,923",The Life of a Showgirl (feat. Sabrina Carpenter)
192,"163,449,810",Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)
193,"162,888,273",Wonderland
194,"161,189,772",Tim McGraw
195,"160,837,716",I Hate It Here
196,"160,041,430",Babe (Taylor's Version) (From The Vault)
197,"158,609,637",Speak Now
198,"158,037,784",It’s Nice To Have A Friend
199,"157,883,568",Wood
200,"156,323,330",State Of Grace (Taylor's Version)
201,"156,245,619",You Are In Love
202,"155,652,329",The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)
203,"155,326,019",Peter
204,"153,534,813",Actually Romantic
205,"153,021,149",Glitch
206,"152,640,207",Dear John
207,"152,618,693",Suburban Legends (Taylor's Version) (From The Vault)
208,"152,190,815",Should've Said No
209,"151,900,745",closure
210,"151,635,553",Begin Again (Taylor's Version)
211,"151,228,362",CANCELLED!
212,"150,564,530",Chloe or Sam or Sophia or Marcus
213,"150,542,542",Come Back...Be Here (Taylor's Version)
214,"150,176,851",All You Had To Do Was Stay (Taylor's Version)
215,"148,123,285",The Bolter
216,"146,848,838",You Are In Love (Taylor's Version)
217,"144,293,433",Dear John (Taylor's Version)
218,"143,990,604",White Horse (Taylor’s Version)
219,"143,947,784",I Know Places
220,"143,855,039",Eldest Daughter
